      0,  0,  0,  0,  1,  16.6,   -6.7
      0,  0,  0,  0,  2,  -0.1,    0.1
      0, -1,  0,  0,  0,  -1.2,    0.8
      0,  0, -2,  2, -2,  -5.5,    4.3
      0,  0, -2,  2, -1,   0.1,   -0.1
      0, -1, -2,  2, -2,  -0.3,    0.2
      1,  0,  0, -2,  0,  -0.3,    0.7
     -1,  0,  0,  0, -1,   0.1,   -0.2
     -1,  0,  0,  0,  0,  -1.2,    3.7
     -1,  0,  0,  0,  1,   0.1,   -0.2
      1,  0, -2,  0, -2,   0.1,   -0.2
      0,  0,  0, -2,  0,   0.0,    0.6
     -2,  0,  0,  0,  0,   0.0,    0.3
      0,  0, -2,  0, -2,   0.6,    6.3
      0,  0, -2,  0, -1,   0.2,    2.6
      0,  0, -2,  0,  0,   0.0,    0.2
      1,  0, -2, -2, -2,   0.1,    0.2
     -1,  0, -2,  0, -2,   0.4,    1.1
     -1,  0, -2,  0, -1,   0.2,    0.5
      0,  0, -2, -2, -2,   0.1,    0.2
     -2,  0, -2,  0, -2,   0.1,    0.1
